Student name,Student ID,Correctness result,Correctness mastery points,Style result,Style mastery points,Abstraction result,Abstraction mastery points,Code Fluency result,Code Fluency mastery points,Documentation result,Documentation mastery points,Resourcefulness result,Resourcefulness mastery points,Reflection result,Reflection mastery points
Example Student 1,1197,3.35,4,3.35,4,3,4,3,4,3.65,4,3.65,4,2,4
Example Student 2,681,2.05,4,2.05,4,2,4,3,4,2,4,1.35,4,3,4
Example Student 3,574,4,4,4,4,3,4,3,4,3.3,4,3.3,4,2,4
Example Student 4,692,3.3,4,3.3,4,2,4,3,4,2.65,4,3.3,4,2,4
Example Student 5,3232,3.35,4,3.35,4,3,4,3,4,3.3,4,3.3,4,2,4
Example Student 6,3362,4,4,4,4,3.35,4,3,4,3.3,4,3.65,4,3,4
Example Student 7,3442,4,4,4,4,3.65,4,3,4,3.65,4,3.65,4,3,4
Example Student 8,1238,2.05,4,2.05,4,2,4,3,4,2.65,4,1.35,4,2,4
Example Student 9,716,4,4,4,4,2.35,4,3,4,2,4,3.65,4,2,4
Example Student 10,781,4,4,4,4,2.35,4,3,4,3,4,3.65,4,2,4
Example Student 11,785,4,4,4,4,2,4,3,4,4,4,3.65,4,4,4
Example Student 12,3367,4,4,4,4,3,4,4,4,2.65,4,3.65,4,3,4
Example Student 13,3368,3.35,4,3.35,4,3,4,3,4,2.65,4,4,4,4,4
Example Student 14,3369,3.65,4,3.65,4,3,4,3,4,3.65,4,3.3,4,2,4
Example Student 15,3370,4,4,4,4,3.35,4,3,4,4,4,3.65,4,4,4
Example Student 16,3371,4,4,4,4,3.35,4,4,4,2.65,4,3.65,4,4,4
Example Student 17,724,4,4,4,4,3.35,4,3,4,4,4,4,4,4,4
Example Student 18,3373,4,4,4,4,3.3,4,3,4,2.65,4,4,4,2,4
Example Student 19,3437,2.05,4,2.05,4,3,4,3,4,2.65,4,1.35,4,2,4
Example Student 20,883,2.05,4,2.05,4,2.7,4,3,4,2.65,4,1.7,4,2,4
Example Student 21,828,4,4,4,4,3,4,3,4,3.35,4,4,4,2,4
Example Student 22,751,3.35,4,3.35,4,2.65,4,3,4,4,4,4,4,2,4
Example Student 23,3382,4,4,4,4,2.35,4,3,4,4,4,4,4,4,4
Example Student 24,1202,3.35,4,3.35,4,2.65,4,3,4,3.3,4,3.65,4,4,4
Example Student 25,579,4,4,4,4,2.65,4,4,4,2.65,4,4,4,4,4
Example Student 26,2591,3.35,4,3.35,4,2,4,3,4,2,4,4,4,1,4
Example Student 27,844,4,4,4,4,3,4,3,4,3,4,3.65,4,2,4
